cancellation_id,account_id,cancellation_date,tenure_months,refund_requested,cancellation_reason_text,churned_revenue,reason_type,category,subcategory,matched_terms,confidence
C00106,A00927,2025-12-19,14,False,Account churned after preferring a competitor's template ecosystem.,180,competitor_switch,Product,missing_templates,template,0.6
C00107,A00935,2025-11-19,11,False,Customer cancelled after low product usage over the last month.,48,low_usage,Uncategorized,unclear_signal,,0.25
C00108,A00940,2026-01-02,1,False,Customer cancelled after low product usage over the last month.,12,low_usage,Uncategorized,unclear_signal,,0.25
C00109,A00943,2026-01-17,23,False,User moved to Adobe Express for familiarity and existing workflows.,24,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00110,A00950,2026-01-13,1,False,User moved to Adobe Express for familiarity and existing workflows.,12,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00111,A00982,2026-02-07,1,False,Customer reported repeated performance issues and slow editing experience.,240,performance,Product,performance_reliability,"performance, slow",0.7
C00112,A00985,2026-01-25,11,False,Customer cancelled after low product usage over the last month.,36,low_usage,Uncategorized,unclear_signal,,0.25
C00113,A00999,2025-05-06,11,False,Account showed weak adoption and limited ongoing engagement.,36,low_usage,Operational,onboarding_confusion,adoption,0.6
C00114,A01003,2026-01-30,12,False,Customer cancelled after low product usage over the last month.,12,low_usage,Uncategorized,unclear_signal,,0.25
C00115,A01004,2026-02-25,1,True,Customer said the subscription cost no longer felt justified.,12,pricing,Commercial,pricing_concerns,cost,0.6
C00116,A01005,2025-04-22,6,True,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00117,A01024,2025-09-25,18,False,Customer reported repeated performance issues and slow editing experience.,12,performance,Product,performance_reliability,"performance, slow",0.7
C00118,A01041,2026-03-08,2,False,User cited lag and unstable exports as key reasons for cancellation.,24,performance,Product,performance_reliability,"lag, unstable",0.7
C00119,A01047,2026-01-31,7,True,User did not create enough projects to justify the subscription.,36,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00120,A01070,2026-01-01,22,True,Customer cancelled after low product usage over the last month.,24,low_usage,Uncategorized,unclear_signal,,0.25
C00121,A01075,2025-12-13,15,False,Customer switched to Canva because the broader team already uses it.,12,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00122,A01078,2026-03-11,1,False,Account churned after unresolved speed and reliability complaints.,180,performance,Operational,support_quality,unresolved,0.6
C00123,A01095,2025-06-09,7,False,Customer cancelled after low product usage over the last month.,36,low_usage,Uncategorized,unclear_signal,,0.25
C00124,A01128,2026-02-09,7,False,User did not create enough projects to justify the subscription.,36,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00125,A01149,2026-02-12,22,False,Customer said the subscription cost no longer felt justified.,36,pricing,Commercial,pricing_concerns,cost,0.6
C00126,A01155,2026-02-07,1,True,User cited budget pressure and reduced willingness to renew.,240,pricing,Commercial,pricing_concerns,budget,0.6
C00127,A01175,2026-03-06,1,False,Account churned after preferring a competitor's template ecosystem.,90,competitor_switch,Product,missing_templates,template,0.6
C00128,A01186,2025-11-09,14,False,Customer reported repeated performance issues and slow editing experience.,90,performance,Product,performance_reliability,"performance, slow",0.7
C00129,A01189,2025-01-25,8,False,Customer switched to Canva because the broader team already uses it.,120,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00130,A01198,2025-10-26,20,True,Customer said the subscription cost no longer felt justified.,120,pricing,Commercial,pricing_concerns,cost,0.6
C00131,A01203,2025-08-18,2,False,User cited budget pressure and reduced willingness to renew.,36,pricing,Commercial,pricing_concerns,budget,0.6
C00132,A01228,2025-08-30,15,True,Account churned after unresolved speed and reliability complaints.,12,performance,Operational,support_quality,unresolved,0.6
C00133,A01244,2025-06-09,15,False,Account churned after preferring a competitor's template ecosystem.,12,competitor_switch,Product,missing_templates,template,0.6
C00134,A01246,2025-10-07,4,False,Account churned after preferring a competitor's template ecosystem.,450,competitor_switch,Product,missing_templates,template,0.6
C00135,A01247,2025-05-10,6,True,User moved to Adobe Express for familiarity and existing workflows.,12,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00136,A01250,2026-03-08,1,False,Account showed weak adoption and limited ongoing engagement.,36,low_usage,Operational,onboarding_confusion,adoption,0.6
C00137,A01254,2026-01-19,5,True,User cited budget pressure and reduced willingness to renew.,24,pricing,Commercial,pricing_concerns,budget,0.6
C00138,A01258,2026-02-27,1,False,Customer said the subscription cost no longer felt justified.,36,pricing,Commercial,pricing_concerns,cost,0.6
C00139,A01260,2025-09-25,16,False,Account churned after unresolved speed and reliability complaints.,60,performance,Operational,support_quality,unresolved,0.6
C00140,A01279,2025-10-22,5,False,Customer said the subscription cost no longer felt justified.,12,pricing,Commercial,pricing_concerns,cost,0.6
C00141,A01293,2025-12-07,1,True,User moved to Adobe Express for familiarity and existing workflows.,24,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00142,A01312,2026-02-03,4,False,Account churned after preferring a competitor's template ecosystem.,150,competitor_switch,Product,missing_templates,template,0.6
C00143,A01326,2025-10-27,3,True,Customer said the subscription cost no longer felt justified.,150,pricing,Commercial,pricing_concerns,cost,0.6
C00144,A01327,2025-05-18,3,False,User did not create enough projects to justify the subscription.,36,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00145,A01350,2025-12-31,8,False,Account churned after preferring a competitor's template ecosystem.,24,competitor_switch,Product,missing_templates,template,0.6
C00146,A01357,2025-09-24,1,False,Customer cancelled after low product usage over the last month.,24,low_usage,Uncategorized,unclear_signal,,0.25
C00147,A01362,2025-08-05,5,False,User moved to Adobe Express for familiarity and existing workflows.,48,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00148,A01365,2025-03-22,14,False,Account showed weak adoption and limited ongoing engagement.,120,low_usage,Operational,onboarding_confusion,adoption,0.6
C00149,A01371,2025-07-18,2,True,User did not create enough projects to justify the subscription.,300,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00150,A01386,2026-02-09,19,True,Customer said the subscription cost no longer felt justified.,24,pricing,Commercial,pricing_concerns,cost,0.6
C00151,A01389,2025-01-03,3,False,User cited budget pressure and reduced willingness to renew.,180,pricing,Commercial,pricing_concerns,budget,0.6
C00152,A01394,2025-09-15,1,False,Customer switched to Canva because the broader team already uses it.,12,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00153,A01435,2026-01-16,1,True,User did not create enough projects to justify the subscription.,12,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00154,A01467,2025-08-28,13,True,Account churned after unresolved speed and reliability complaints.,12,performance,Operational,support_quality,unresolved,0.6
C00155,A01477,2026-03-03,1,False,Customer cancelled after low product usage over the last month.,12,low_usage,Uncategorized,unclear_signal,,0.25
C00156,A01489,2025-10-08,4,False,Customer switched to Canva because the broader team already uses it.,12,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00157,A01491,2025-08-16,1,True,User did not create enough projects to justify the subscription.,120,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00158,A01495,2026-01-11,11,False,Account showed weak adoption and limited ongoing engagement.,24,low_usage,Operational,onboarding_confusion,adoption,0.6
C00159,A01510,2025-04-25,12,True,Customer switched to Canva because the broader team already uses it.,90,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00160,A01513,2026-02-25,3,False,Customer cancelled after low product usage over the last month.,180,low_usage,Uncategorized,unclear_signal,,0.25
C00161,A01516,2025-07-03,1,True,Customer switched to Canva because the broader team already uses it.,24,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00162,A01531,2025-10-24,11,False,Account cancelled due to pricing concerns relative to usage.,36,pricing,Commercial,pricing_concerns,pricing,0.6
C00163,A01554,2026-01-20,1,False,Account churned after preferring a competitor's template ecosystem.,120,competitor_switch,Product,missing_templates,template,0.6
C00164,A01557,2025-10-02,15,False,Customer switched to Canva because the broader team already uses it.,12,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00165,A01558,2025-09-25,3,True,User did not create enough projects to justify the subscription.,60,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00166,A01567,2025-07-13,5,True,User cited budget pressure and reduced willingness to renew.,12,pricing,Commercial,pricing_concerns,budget,0.6
C00167,A01574,2025-10-24,3,True,Customer said the subscription cost no longer felt justified.,300,pricing,Commercial,pricing_concerns,cost,0.6
C00168,A01578,2026-02-16,17,False,Account cancelled due to pricing concerns relative to usage.,24,pricing,Commercial,pricing_concerns,pricing,0.6
C00169,A01588,2025-12-18,1,True,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00170,A01604,2025-12-17,5,False,Account churned after unresolved speed and reliability complaints.,180,performance,Operational,support_quality,unresolved,0.6
C00171,A01610,2025-11-03,16,False,Customer said the subscription cost no longer felt justified.,24,pricing,Commercial,pricing_concerns,cost,0.6
C00172,A01615,2026-02-27,1,False,Customer cancelled after low product usage over the last month.,12,low_usage,Uncategorized,unclear_signal,,0.25
C00173,A01639,2026-01-05,11,True,User cited lag and unstable exports as key reasons for cancellation.,36,performance,Product,performance_reliability,"lag, unstable",0.7
C00174,A01653,2026-01-27,4,False,Customer switched to Canva because the broader team already uses it.,300,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00175,A01655,2026-03-01,16,False,Account cancelled due to pricing concerns relative to usage.,48,pricing,Commercial,pricing_concerns,pricing,0.6
C00176,A01659,2025-10-11,2,False,User moved to Adobe Express for familiarity and existing workflows.,24,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00177,A01662,2026-01-16,19,False,Customer switched to Canva because the broader team already uses it.,24,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00178,A01693,2025-04-14,2,False,User cited budget pressure and reduced willingness to renew.,300,pricing,Commercial,pricing_concerns,budget,0.6
C00179,A01699,2026-02-17,1,False,Account churned after unresolved speed and reliability complaints.,24,performance,Operational,support_quality,unresolved,0.6
C00180,A01700,2025-05-15,1,False,Customer reported repeated performance issues and slow editing experience.,300,performance,Product,performance_reliability,"performance, slow",0.7
C00181,A01705,2025-11-07,17,False,Customer reported repeated performance issues and slow editing experience.,36,performance,Product,performance_reliability,"performance, slow",0.7
C00182,A01719,2026-02-14,5,False,Customer switched to Canva because the broader team already uses it.,12,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00183,A01723,2026-03-07,20,False,Customer cancelled after low product usage over the last month.,12,low_usage,Uncategorized,unclear_signal,,0.25
C00184,A01739,2026-01-30,21,False,User moved to Adobe Express for familiarity and existing workflows.,24,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00185,A01773,2025-08-19,7,False,Account showed weak adoption and limited ongoing engagement.,36,low_usage,Operational,onboarding_confusion,adoption,0.6
C00186,A01775,2025-01-02,8,True,Account cancelled due to pricing concerns relative to usage.,300,pricing,Commercial,pricing_concerns,pricing,0.6
C00187,A01776,2025-11-27,1,False,User did not create enough projects to justify the subscription.,48,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00188,A01784,2025-10-20,1,False,Account churned after preferring a competitor's template ecosystem.,24,competitor_switch,Product,missing_templates,template,0.6
C00189,A01785,2026-02-16,2,True,User cited budget pressure and reduced willingness to renew.,36,pricing,Commercial,pricing_concerns,budget,0.6
C00190,A01786,2026-03-06,5,True,User cited lag and unstable exports as key reasons for cancellation.,180,performance,Product,performance_reliability,"lag, unstable",0.7
C00191,A01802,2025-09-06,14,True,Account cancelled due to pricing concerns relative to usage.,300,pricing,Commercial,pricing_concerns,pricing,0.6
C00192,A01817,2025-03-08,5,True,User did not create enough projects to justify the subscription.,240,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00193,A01819,2025-08-19,14,True,User did not create enough projects to justify the subscription.,150,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00194,A01828,2025-11-03,14,False,Account churned after unresolved speed and reliability complaints.,48,performance,Operational,support_quality,unresolved,0.6
C00195,A01832,2025-06-12,5,True,Account cancelled due to pricing concerns relative to usage.,12,pricing,Commercial,pricing_concerns,pricing,0.6
C00196,A01833,2025-03-29,1,False,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00197,A01839,2026-03-03,5,False,Account churned after preferring a competitor's template ecosystem.,90,competitor_switch,Product,missing_templates,template,0.6
C00198,A01842,2025-11-01,4,True,Customer switched to Canva because the broader team already uses it.,36,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00199,A01843,2026-02-06,5,True,Customer said the subscription cost no longer felt justified.,24,pricing,Commercial,pricing_concerns,cost,0.6
C00200,A01847,2025-11-01,2,True,Account churned after unresolved speed and reliability complaints.,120,performance,Operational,support_quality,unresolved,0.6
C00201,A01855,2025-04-13,11,False,Account cancelled due to pricing concerns relative to usage.,24,pricing,Commercial,pricing_concerns,pricing,0.6
C00202,A01859,2026-02-11,9,True,Account cancelled due to pricing concerns relative to usage.,24,pricing,Commercial,pricing_concerns,pricing,0.6
C00203,A01884,2025-10-09,5,False,Account cancelled due to pricing concerns relative to usage.,36,pricing,Commercial,pricing_concerns,pricing,0.6
C00204,A01890,2025-05-05,1,False,Customer cancelled after low product usage over the last month.,48,low_usage,Uncategorized,unclear_signal,,0.25
C00205,A01898,2026-01-01,15,False,Account cancelled due to pricing concerns relative to usage.,60,pricing,Commercial,pricing_concerns,pricing,0.6
C00206,A01919,2025-04-04,2,False,Account churned after preferring a competitor's template ecosystem.,180,competitor_switch,Product,missing_templates,template,0.6
C00207,A01921,2025-04-14,12,False,Customer reported repeated performance issues and slow editing experience.,180,performance,Product,performance_reliability,"performance, slow",0.7
C00208,A01924,2025-07-26,14,False,Account cancelled due to pricing concerns relative to usage.,48,pricing,Commercial,pricing_concerns,pricing,0.6
C00209,A01927,2026-01-11,22,False,User moved to Adobe Express for familiarity and existing workflows.,12,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00210,A01935,2026-02-22,1,False,Customer reported repeated performance issues and slow editing experience.,12,performance,Product,performance_reliability,"performance, slow",0.7
C00211,A01937,2025-07-31,7,False,User did not create enough projects to justify the subscription.,48,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00212,A01976,2025-02-18,4,False,Customer switched to Canva because the broader team already uses it.,60,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00213,A01977,2025-03-10,3,False,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00214,A01988,2025-11-15,1,False,Customer said the subscription cost no longer felt justified.,12,pricing,Commercial,pricing_concerns,cost,0.6
